epoch,step,train_acc,train_loss,val_acc,val_loss
0,0,0.375,0.6948778629302979,,
0,1,0.5625,0.6919538974761963,,
0,2,0.5,0.6927313804626465,,
0,3,0.53125,0.691746711730957,,
0,4,0.6875,0.6703494787216187,,
0,5,0.625,0.6716853380203247,,
0,6,0.71875,0.6441993713378906,,
0,7,0.5625,0.6824710369110107,,
0,8,0.6875,0.6343204975128174,,
0,9,0.78125,0.5844030380249023,,
0,10,0.8125,0.5497193336486816,,
0,11,0.625,0.6603541374206543,,
0,12,0.65625,0.6426223516464233,,
0,13,0.5625,0.7261880040168762,,
0,14,0.75,0.5563003420829773,,
0,14,,,0.649350643157959,0.6492270827293396
1,15,0.75,0.555985152721405,,
1,16,0.59375,0.7181031703948975,,
1,17,0.875,0.41815292835235596,,
1,18,0.65625,0.6430917978286743,,
1,19,0.46875,0.8487966060638428,,
1,20,0.5625,0.7268909215927124,,
1,21,0.59375,0.6882635354995728,,
1,22,0.75,0.5452156662940979,,
1,23,0.65625,0.6275641918182373,,
1,24,0.6875,0.5777751803398132,,
1,25,0.78125,0.527362585067749,,
1,26,0.46875,0.7073357105255127,,
1,27,0.71875,0.5565811991691589,,
1,28,0.5625,0.6199154853820801,,
1,29,0.6666666865348816,0.5436028838157654,,
1,29,,,0.649350643157959,0.5348953604698181
2,30,0.5625,0.5918242931365967,,
2,31,0.625,0.5219689011573792,,
2,32,0.5625,0.5531245470046997,,
2,33,0.75,0.5112615823745728,,
2,34,0.78125,0.4225589334964752,,
2,35,0.75,0.5075745582580566,,
2,36,0.78125,0.41251224279403687,,
2,37,0.625,0.8138103485107422,,
2,38,0.9375,0.3249589800834656,,
2,39,0.71875,0.4719020128250122,,
2,40,0.75,0.5301663875579834,,
2,41,0.5625,0.6886962652206421,,
2,42,0.75,0.4483445882797241,,
2,43,0.6875,0.5773835182189941,,
2,44,0.75,0.4668540954589844,,
2,44,,,0.7467532753944397,0.45855677127838135
3,45,0.59375,0.5364824533462524,,
3,46,0.78125,0.5231885313987732,,
3,47,0.84375,0.38910263776779175,,
3,48,0.71875,0.4966433644294739,,
3,49,0.8125,0.3863224685192108,,
