epoch,step,train_acc,train_loss,val_acc,val_loss
0,0,0.5625,0.6908562183380127,,
0,1,0.71875,0.6816624402999878,,
0,2,0.59375,0.685009241104126,,
0,3,0.625,0.6780051589012146,,
0,4,0.6875,0.6575213074684143,,
0,5,0.59375,0.6755976676940918,,
0,6,0.53125,0.6944547295570374,,
0,7,0.6875,0.6374783515930176,,
0,8,0.65625,0.6461700201034546,,
0,9,0.75,0.5902908444404602,,
0,10,0.5625,0.6948572397232056,,
0,11,0.65625,0.6279661059379578,,
0,12,0.6875,0.6102806925773621,,
0,13,0.78125,0.5323538184165955,,
0,14,0.75,0.5550451874732971,,
0,14,,,0.649350643157959,0.6204691529273987
1,15,0.75,0.5412281155586243,,
1,16,0.5,0.7561217546463013,,
1,17,0.625,0.6334847211837769,,
1,18,0.59375,0.6809176802635193,,
1,19,0.6875,0.6006144285202026,,
1,20,0.625,0.6299722194671631,,
1,21,0.625,0.6123148798942566,,
1,22,0.625,0.5856993198394775,,
1,23,0.71875,0.514684796333313,,
1,24,0.625,0.5448193550109863,,
1,25,0.78125,0.4881533980369568,,
1,26,0.78125,0.42379868030548096,,
1,27,0.6875,0.5726581811904907,,
1,28,0.71875,0.6427191495895386,,
1,29,0.6666666865348816,0.5218308568000793,,
1,29,,,0.7922077775001526,0.46033793687820435
2,30,0.625,0.6334514021873474,,
2,31,0.90625,0.402712345123291,,
2,32,0.90625,0.39018791913986206,,
2,33,0.78125,0.43603944778442383,,
2,34,0.84375,0.39224663376808167,,
2,35,0.75,0.5649593472480774,,
2,36,0.71875,0.4524123966693878,,
2,37,0.78125,0.5210394859313965,,
2,38,0.75,0.5066325068473816,,
2,39,0.6875,0.5716642141342163,,
2,40,0.8125,0.3576916456222534,,
2,41,0.78125,0.5036399960517883,,
2,42,0.78125,0.5774855613708496,,
2,43,0.78125,0.5300732851028442,,
2,44,0.8333333134651184,0.3863039016723633,,
2,44,,,0.7857142686843872,0.493145227432251
3,45,0.875,0.34662771224975586,,
3,46,0.8125,0.4124445915222168,,
3,47,0.625,0.7798362374305725,,
3,48,0.6875,0.6893421411514282,,
3,49,0.75,0.46065008640289307,,
3,50,0.65625,0.6120432615280151,,
