epoch,step,train_acc,train_loss,val_acc,val_loss
0,0,0.625,0.6790430545806885,,
0,1,0.78125,0.6560834050178528,,
0,2,0.65625,0.6696745157241821,,
0,3,0.65625,0.6648494601249695,,
0,4,0.6875,0.6501250267028809,,
0,5,0.65625,0.6539846658706665,,
0,6,0.6875,0.6372417211532593,,
0,7,0.625,0.6617882251739502,,
0,8,0.5,0.7288711071014404,,
0,9,0.625,0.6612001061439514,,
0,10,0.6875,0.6242915987968445,,
0,11,0.59375,0.682206392288208,,
0,12,0.6875,0.6219340562820435,,
0,13,0.65625,0.64292311668396,,
0,14,0.6666666865348816,0.6363069415092468,,
0,14,,,0.649350643157959,0.6472111344337463
1,15,0.625,0.6660462021827698,,
1,16,0.65625,0.6426674723625183,,
1,17,0.59375,0.6892257928848267,,
1,18,0.71875,0.5955452919006348,,
1,19,0.65625,0.6420313119888306,,
1,20,0.46875,0.7818365693092346,,
1,21,0.65625,0.6418013572692871,,
1,22,0.65625,0.6390238404273987,,
1,23,0.65625,0.6387854814529419,,
1,24,0.65625,0.638546884059906,,
1,25,0.75,0.5830429792404175,,
1,26,0.59375,0.6764565110206604,,
1,27,0.65625,0.6370589733123779,,
1,28,0.75,0.579120397567749,,
1,29,0.75,0.5850504040718079,,
1,29,,,0.649350643157959,0.6369103789329529
2,30,0.65625,0.634071946144104,,
2,31,0.6875,0.6139056086540222,,
2,32,0.78125,0.5534107089042664,,
2,33,0.6875,0.609089732170105,,
2,34,0.71875,0.5875571370124817,,
2,35,0.75,0.554990291595459,,
2,36,0.53125,0.7314138412475586,,
2,37,0.5,0.7557650804519653,,
2,38,0.78125,0.5229048132896423,,
2,39,0.5625,0.6965363621711731,,
2,40,0.75,0.5431362390518188,,
2,41,0.59375,0.658764123916626,,
2,42,0.5625,0.6596497297286987,,
2,43,0.625,0.607566773891449,,
2,44,0.5,0.7266740798950195,,
2,44,,,0.649350643157959,0.5660686492919922
3,45,0.625,0.6194932460784912,,
3,46,0.8125,0.48635223507881165,,
3,47,0.6875,0.5390943288803101,,
3,48,0.75,0.49492213129997253,,
3,49,0.5625,0.5897666215896606,,
3,50,0.59375,0.5240089297294617,,
3,51,0.78125,0.4937368929386139,,
3,52,0.75,0.410494863986969,,
3,53,0.78125,0.4750973582267761,,
3,54,0.8125,0.5772161483764648,,
3,55,0.78125,0.46285516023635864,,
3,56,0.875,0.4280460774898529,,
3,57,0.78125,0.6300680637359619,,
3,58,0.84375,0.29726067185401917,,
3,59,0.5,0.7556516528129578,,
3,59,,,0.7532467246055603,0.4791835844516754
4,60,0.71875,0.5779863595962524,,
4,61,0.6875,0.5398060083389282,,
4,62,0.78125,0.47636979818344116,,
4,63,0.6875,0.5512174367904663,,
4,64,0.78125,0.415435791015625,,
4,65,0.78125,0.4495042860507965,,
4,66,0.875,0.39090168476104736,,
4,67,0.78125,0.5019828677177429,,
4,68,0.75,0.477900892496109,,
4,69,0.8125,0.41637730598449707,,
4,70,0.5625,0.6966930627822876,,
4,71,0.75,0.5198593139648438,,
4,72,0.75,0.5061509609222412,,
4,73,0.96875,0.32359153032302856,,
4,74,0.8333333134651184,0.3398749828338623,,
4,74,,,0.798701286315918,0.4327448010444641
5,75,0.78125,0.5771197080612183,,
5,76,0.9375,0.23996056616306305,,
5,77,0.75,0.5378468036651611,,
5,78,0.75,0.6170990467071533,,
