epoch,step,train_acc,train_loss,val_acc,val_loss
0,0,0.375,0.7206734418869019,,
0,1,0.375,0.716565728187561,,
0,2,0.4375,0.7026996612548828,,
0,3,0.40625,0.7003946304321289,,
0,4,0.4375,0.6936640739440918,,
0,5,0.6875,0.6825234889984131,,
0,6,0.65625,0.6738467216491699,,
0,7,0.65625,0.6636136770248413,,
0,8,0.6875,0.6449511051177979,,
0,9,0.6875,0.6354984641075134,,
0,10,0.625,0.6615258455276489,,
0,11,0.6875,0.6241120100021362,,
0,12,0.78125,0.5547806024551392,,
0,13,0.75,0.5700044631958008,,
0,14,0.5,0.7927870750427246,,
0,14,,,0.649350643157959,0.6598089933395386
1,15,0.65625,0.6536725759506226,,
1,16,0.6875,0.6247705817222595,,
1,17,0.53125,0.787214457988739,,
1,18,0.75,0.56135493516922,,
1,19,0.59375,0.7172072529792786,,
1,20,0.65625,0.6540151238441467,,
1,21,0.59375,0.7089698314666748,,
1,22,0.59375,0.7015172839164734,,
1,23,0.71875,0.5944095849990845,,
1,24,0.65625,0.6429747939109802,,
1,25,0.5625,0.7071425914764404,,
1,26,0.71875,0.6013492345809937,,
1,27,0.6875,0.6220578551292419,,
1,28,0.65625,0.6419431567192078,,
1,29,0.8333333134651184,0.547339677810669,,
1,29,,,0.649350643157959,0.6450749039649963
2,30,0.78125,0.5742161273956299,,
2,31,0.71875,0.6060361266136169,,
2,32,0.65625,0.6430759429931641,,
2,33,0.625,0.6595682501792908,,
2,34,0.5625,0.7004649639129639,,
2,35,0.6875,0.6197677254676819,,
2,36,0.5,0.740633487701416,,
2,37,0.6875,0.6187839508056641,,
2,38,0.6875,0.6173499226570129,,
2,39,0.5625,0.6956568360328674,,
2,40,0.8125,0.5358797311782837,,
2,41,0.625,0.6526015996932983,,
2,42,0.59375,0.6751274466514587,,
2,43,0.59375,0.6744104623794556,,
2,44,0.75,0.5719382166862488,,
2,44,,,0.649350643157959,0.6326841711997986
3,45,0.625,0.652130126953125,,
3,46,0.59375,0.666271448135376,,
3,47,0.59375,0.6620659232139587,,
3,48,0.5625,0.6727455854415894,,
3,49,0.65625,0.618315577507019,,
3,50,0.78125,0.5538603067398071,,
3,51,0.5625,0.6779621839523315,,
3,52,0.5625,0.6651480197906494,,
3,53,0.78125,0.5462844371795654,,
3,54,0.625,0.5999066233634949,,
3,55,0.71875,0.5857143402099609,,
3,56,0.6875,0.5689065456390381,,
3,57,0.625,0.6308086514472961,,
3,58,0.71875,0.5050779581069946,,
3,59,0.75,0.48107460141181946,,
3,59,,,0.649350643157959,0.5381112694740295
4,60,0.59375,0.5743549466133118,,
4,61,0.6875,0.4860946238040924,,
4,62,0.625,0.6256111860275269,,
4,63,0.6875,0.43301090598106384,,
4,64,0.78125,0.42117005586624146,,
4,65,0.625,0.48833349347114563,,
4,66,0.625,0.46411603689193726,,
4,67,0.71875,0.4080493450164795,,
4,68,0.8125,0.4975697994232178,,
4,69,0.5625,0.5365270972251892,,
4,70,0.6875,0.5296289920806885,,
4,71,0.6875,0.5747743844985962,,
4,72,0.6875,0.6359104514122009,,
4,73,0.53125,0.6210106015205383,,
4,74,0.75,0.4422215521335602,,
4,74,,,0.6883116960525513,0.4619060456752777
5,75,0.75,0.48889222741127014,,
5,76,0.71875,0.61175936460495,,
5,77,0.75,0.4836534857749939,,
5,78,0.5,0.6319726705551147,,
5,79,0.65625,0.528394877910614,,
5,80,0.5625,0.743302047252655,,
5,81,0.875,0.3045421540737152,,
5,82,0.65625,0.647419810295105,,
5,83,0.78125,0.5387663841247559,,
5,84,0.6875,0.4978511333465576,,
5,85,0.78125,0.38734060525894165,,
5,86,0.8125,0.5174494385719299,,
5,87,0.625,0.4871424436569214,,
5,88,0.71875,0.48651593923568726,,
5,89,0.5833333134651184,0.4836826026439667,,
5,89,,,0.7272727489471436,0.5039248466491699
6,90,0.6875,0.5594943761825562,,
6,91,0.71875,0.561286449432373,,
6,92,0.78125,0.4623933434486389,,
6,93,0.78125,0.47501492500305176,,
6,94,0.8125,0.41851550340652466,,
6,95,0.6875,0.6325639486312866,,
6,96,0.75,0.4836077392101288,,
6,97,0.6875,0.46650052070617676,,
6,98,0.84375,0.34759777784347534,,
6,99,0.625,0.5186169147491455,,
6,100,0.84375,0.3272247910499573,,
6,101,0.78125,0.43051791191101074,,
6,102,0.78125,0.46200454235076904,,
6,103,0.6875,0.7394317984580994,,
6,104,0.8333333134651184,0.3673609495162964,,
6,104,,,0.7792207598686218,0.5949303507804871
7,105,0.78125,0.4172597825527191,,
7,106,0.6875,0.6059373617172241,,
7,107,0.6875,0.6265006065368652,,
7,108,0.75,0.5288606882095337,,
7,109,0.75,0.38985395431518555,,
7,110,0.78125,0.465561181306839,,
7,111,0.78125,0.46120768785476685,,
7,112,0.78125,0.45673319697380066,,
7,113,0.875,0.4013875126838684,,
7,114,0.59375,0.48755592107772827,,
7,115,0.625,0.7104651927947998,,
7,116,0.8125,0.4859539270401001,,
7,117,0.84375,0.37867191433906555,,
7,118,0.65625,0.5280223488807678,,
7,119,0.8333333134651184,0.5184400677680969,,
7,119,,,0.7792207598686218,0.4486500024795532
8,120,0.8125,0.413846492767334,,
8,121,0.65625,0.6304287910461426,,
8,122,0.75,0.45751023292541504,,
8,123,0.71875,0.6009835004806519,,
8,124,0.8125,0.45264336466789246,,
8,125,0.84375,0.32492250204086304,,
8,126,0.8125,0.35511690378189087,,
8,127,0.84375,0.47271162271499634,,
8,128,0.84375,0.31073322892189026,,
8,129,0.84375,0.36056455969810486,,
8,130,0.78125,0.47465506196022034,,
8,131,0.8125,0.39047494530677795,,
8,132,0.71875,0.429282546043396,,
8,133,0.65625,0.8252948522567749,,
8,134,0.5833333134651184,0.5530709028244019,,
8,134,,,0.7792207598686218,0.42183685302734375
9,135,0.78125,0.4626748561859131,,
9,136,0.75,0.512769341468811,,
9,137,0.71875,0.45150089263916016,,
9,138,0.71875,0.4195006489753723,,
9,139,0.71875,0.39848199486732483,,
9,140,0.625,0.4991592764854431,,
9,141,0.5625,0.5778121948242188,,
9,142,0.65625,0.6258478164672852,,
9,143,0.75,0.37540292739868164,,
9,144,0.65625,0.5317427515983582,,
9,145,0.6875,0.33867165446281433,,
