epoch,step,train_acc,train_loss
0,0,0.59375,0.6781285405158997
0,1,0.53125,0.6922858357429504
0,2,0.65625,0.6643281579017639
0,3,0.625,0.670650839805603
0,4,0.6875,0.6528313159942627
0,5,0.625,0.6673078536987305
0,6,0.8125,0.6028803586959839
0,7,0.6875,0.6370941996574402
0,8,0.6875,0.6327153444290161
0,9,0.65625,0.6434030532836914
0,10,0.59375,0.6793770790100098
0,11,0.71875,0.6000285148620605
0,12,0.625,0.6639810800552368
0,13,0.6875,0.6182384490966797
0,14,0.5,0.7681261897087097
1,15,0.5,0.7743462324142456
1,16,0.71875,0.592087984085083
1,17,0.59375,0.6915916204452515
1,18,0.71875,0.5929868221282959
1,19,0.84375,0.4984881281852722
1,20,0.84375,0.4979883134365082
1,21,0.59375,0.6878441572189331
1,22,0.65625,0.6342709064483643
1,23,0.5,0.7645305395126343
1,24,0.59375,0.6814497709274292
1,25,0.6875,0.610150933265686
1,26,0.59375,0.6838248372077942
1,27,0.53125,0.7142693996429443
1,28,0.78125,0.5533097982406616
1,29,0.5833333134651184,0.6786940097808838
2,30,0.53125,0.6998506784439087
2,31,0.8125,0.5397763252258301
2,32,0.65625,0.6181223392486572
2,33,0.5625,0.6734081506729126
2,34,0.625,0.634399950504303
2,35,0.75,0.5601990222930908
2,36,0.59375,0.6582496166229248
2,37,0.6875,0.5986373424530029
2,38,0.65625,0.6035493612289429
2,39,0.625,0.6065735816955566
2,40,0.65625,0.6020870804786682
2,41,0.625,0.6156493425369263
2,42,0.71875,0.5642382502555847
2,43,0.59375,0.6338903307914734
2,44,0.75,0.4568670690059662
3,45,0.59375,0.5985816121101379
3,46,0.71875,0.47581616044044495
3,47,0.53125,0.6290521025657654
3,48,0.5625,0.5528620481491089
3,49,0.65625,0.5338295698165894
3,50,0.625,0.5576459169387817
3,51,0.71875,0.514875590801239
3,52,0.6875,0.5365267992019653
3,53,0.75,0.5580134391784668
3,54,0.6875,0.49192988872528076
3,55,0.75,0.48279869556427
3,56,0.8125,0.39436832070350647
3,57,0.71875,0.4086202383041382
3,58,0.65625,0.5456941723823547
3,59,0.75,0.37403056025505066
